Date,Open,High,Low,Close,Volume
2018/1/1 6:08,13255,13255,13253,13255,1.13157108
2018/1/1 6:09,13255,13268,13255,13268,0.66817113
2018/1/1 6:10,13268,13269.99735,13268,13268.32881,0.18001482
2018/1/1 6:11,13269.99735,13282,13269.99735,13269.99735,1.50091935
2018/1/1 6:12,13270.8,13270.8,13255,13270.8,1.52580646
2018/1/1 6:13,13270,13270,13168.1848,13181.30809,12.26528661
2018/1/1 6:14,13240.74694,13240.74694,13181.30809,13226.03836,1.40137264
2018/1/1 6:15,13226.03836,13226.03836,13181.74694,13181.74694,1.3262441
2018/1/1 6:16,13185.17911,13201.92921,13181.74694,13182.17911,0.91884486
2018/1/1 6:17,13185.18468,13185.18468,13130,13159,4.61373021
2018/1/1 6:18,13130.91298,13193.08509,13130.91298,13193.08509,2.17037983
2018/1/1 6:19,13139.092,13185.78347,13139.092,13185.78347,0.5590267
2018/1/1 6:20,13185.78347,13185.78347,13127.20362,13127.20362,0.28590922
2018/1/1 6:21,13127.20362,13162.96087,13127.20362,13127.20362,0.06113058
2018/1/1 6:22,13127.20362,13162.7,13127.20362,13127.20362,0.2307314
2018/1/1 6:23,13127.20362,13150,13127.20362,13127.20362,1.89039527
2018/1/1 6:24,13135,13150,13127.20362,13128,0.54788458
2018/1/1 6:25,13141.3123,13141.3123,13121,13121,0.4662185
2018/1/1 6:26,13120.19549,13120.19549,13081,13099.26973,14.74185804
2018/1/1 6:27,13099.26973,13120,13072.74402,13098,16.08020619
2018/1/1 6:28,13087.76973,13099.26973,13087.61398,13095,4.0080404
2018/1/1 6:29,13095,13112.43769,13043.22658,13099.26973,32.96407274
2018/1/1 6:30,13112.43769,13161.47374,13110.08569,13161.47374,8.74383213
2018/1/1 6:31,13168.05448,13178.12785,13137.26143,13161.47374,2.37474185
2018/1/1 6:32,13170,13191.11647,13161.47374,13188.26143,2.0332839
2018/1/1 6:33,13189.26143,13189.55027,13150.00006,13189.55027,2.12422917
2018/1/1 6:34,13174.26143,13191.11647,13174.26143,13190,1.99381635
2018/1/1 6:35,13191.11647,13200,13189.55027,13190.05027,6.85006695
2018/1/1 6:36,13189.55027,13190.05027,13151.55027,13151.55027,1.49883367
